"","FuiFM_exp5_29_2","FuiFM_exp5_30_2","exp6_58","exp6_57"
"ENSMUSG00000064317",0,1,0,0
"ENSMUSG00000064329",0,390,0,0
"ENSMUSG00000064339",2,1,2,1750
"ENSMUSG00000064345",1,0,0,0
"ENSMUSG00000064370",0,0,1,0
"ENSMUSG00000065561",0,2,3,8
"ENSMUSG00000065968",0,1,0,0
"ENSMUSG00000066877",1,0,0,0
"ENSMUSG00000067338",1,1,0,0
"ENSMUSG00000067873",0,0,0,1
"ENSMUSG00000068629",0,0,0,1
"ENSMUSG00000071415",1,0,0,0
"ENSMUSG00000072620",0,0,0,1
"ENSMUSG00000073867",0,0,1,0
"ENSMUSG00000074232",0,0,2,1
"ENSMUSG00000075104",1,0,0,1
"ENSMUSG00000075316",0,1,0,0
"ENSMUSG00000075318",0,124,0,0
"ENSMUSG00000075465",0,0,1,0
"ENSMUSG00000075486",1,0,0,0
"ENSMUSG00000077222",0,0,1,0
"ENSMUSG00000079225",1,0,0,0
"ENSMUSG00000079259",0,0,1,1
"ENSMUSG00000080544",0,3,0,12
"ENSMUSG00000081261",0,0,0,1
"ENSMUSG00000081306",18,27,64,87
"ENSMUSG00000083084",0,0,0,1
"ENSMUSG00000083773",0,0,0,1
"ENSMUSG00000086324",84,33,121,12
"ENSMUSG00000089940",0,0,0,1
"ENSMUSG00000091957",0,0,0,1
"ENSMUSG00000092702",1,0,2,0
"ENSMUSG00000092746",36,5,4,0
"ENSMUSG00000092805",1,27,0,2
"ENSMUSG00000092875",0,0,0,1
"ENSMUSG00000093283",33,0,0,1
"ENSMUSG00000096914",0,0,66,0
"ENSMUSG00000097048",0,0,1,0
"ENSMUSG00000097261",0,0,0,1
"ENSMUSG00000097660",0,0,0,1
"ENSMUSG00000097971",1,0,0,1
"ENSMUSG00000098973",755,177,402,462
"ENSMUSG00000099764",0,0,0,1
"ENSMUSG00000101525",0,0,0,1
"ENSMUSG00000102275",0,0,3,3
"ENSMUSG00000102289",18,0,0,0
"ENSMUSG00000102428",2,0,3,9
"ENSMUSG00000102764",0,1,0,0
"ENSMUSG00000102982",0,1,0,0
"ENSMUSG00000103621",1,0,0,0
"ENSMUSG00000103658",0,1,0,0
"ENSMUSG00000105008",0,0,1,1
"ENSMUSG00000105828",0,0,0,1
"ENSMUSG00000105926",0,1,0,0
"ENSMUSG00000106106",1,0,8,84
"ENSMUSG00000106840",0,0,0,1
"ENSMUSG00000107557",0,0,0,1
"ENSMUSG00000107927",1,0,0,0
"ENSMUSG00000108485",0,0,9,26
"ENSMUSG00000111806",0,0,1,0
