"","orig.ident","nCount_RNA","nFeature_RNA","percent.mt","percent.rRNA","percent.protein","sample_name","original_sample_name","Batch","Cell_type","Compartment","Species","sampling_type","treatment","ERCC","Sequencer","Sequencing_run","Sequencing_protocol","i5_index","i7_index","cDNA_profile","cDNA_concentration","trial","Date","Probe","Cell_NO","Extract_NO","Note","Volume_preloaded_buffer_fl","Volume_extract_and_preload_fl","Volume_cell_extract_fl","Extraction_time_h","library_concentration","mCherry_TNFa","double_extraction","double_extraction_order","celltype_treatment","input.reads","ave.read.len","uniquely.mapped","multiple.mapped","too.many.mapped","too.many.mismatches","too.short","others","mCherry.log.intercept","mCherry.log.slope","mCherry.AUC","sample_ID"
"exp6_35","exp6",403842,2876,0.780255644534249,23.9754656524086,73.7714254584714,"exp6_35","exp6_35","6","Raw264.7_G9","cytoplasm","Mouse","Live_seq","not_treated",1e-08,"NextSeq500","NXT0409","2X76","1.4","2.3","pass",1.2758,"no","07.12.18","Gamma 8 12_05",5,35,"",1501,2826,1325,"","2.4188","Detached_cell","",NA,"Raw264.7_not_treated",1074794,74,636987,0,255427,0,16.07,0.9,NA,NA,NA,"sample12"
"exp6_42","exp6",318284,1211,17.0344723580199,31.6063641276344,52.3856053084667,"exp6_42","exp6_42","6","Raw264.7_G9","cytoplasm","Mouse","Live_seq","not_treated",1e-08,"NextSeq500","NXT0409","2X76","1.4","2.1","pass",0.3524,"no","11.12.18","Gamma 3 6_13",3,42,"Emptied cell",1359,2662,1303,"","0.9671","Emptied_cell","",NA,"Raw264.7_not_treated",1025472,72,559377,0,248957,0,17.69,3.49,NA,NA,NA,"sample13"
"FuiFM_exp5_11_Reseq","FuiFM",656692,8466,27.6236043685624,8.08720069682591,61.8729937322215,"FuiFM_exp5_11_Reseq","FuiFM_exp5_11","5Reseq","Raw264.7","cytoplasm","Mouse","Live_seq","LPS_treated",1e-08,"NextSeq500","NXT0409","2X76","1.1","2.11","fail",9.90034,"no","","",NA,NA,"",113,1224,1111,"","1.647344991","","",NA,"Raw264.7_LPS_treated",1439905,73,981875,0,270374,0,11.84,1.19,NA,NA,NA,"sample14"
"FuiFM_exp5_10_Reseq","FuiFM",576003,4204,7.08989362902624,4.63851750772131,87.1827056456303,"FuiFM_exp5_10_Reseq","FuiFM_exp5_10","5Reseq","Raw264.7","cytoplasm","Mouse","Live_seq","LPS_treated",1e-08,"NextSeq500","NXT0409","2X76","1.1","2.1","pass",1.64304,"no","","",NA,NA,"",358,1835,1477,"","2.824223232","","",NA,"Raw264.7_LPS_treated",1493478,73,982972,0,259050,0,15.39,1.44,NA,NA,NA,"sample15"
"FuiFM_exp5_9_Reseq","FuiFM",651243,5734,8.49821034544709,7.85467175846804,80.7792175885192,"FuiFM_exp5_9_Reseq","FuiFM_exp5_9","5Reseq","Raw264.7","cytoplasm","Mouse","Live_seq","LPS_treated",1e-08,"NextSeq500","NXT0409","2X76","1.1","2.9","pass",3.1162,"no","","",NA,NA,"",1683,2598,915,"","1.191449814","","",NA,"Raw264.7_LPS_treated",1575541,73,1084488,0,275747,0,12.32,1.34,NA,NA,NA,"sample16"
"exp6_37","exp6",252819,1115,13.6734185326261,42.6783588258794,44.0619573687104,"exp6_37","exp6_37","6","Raw264.7_G9","cytoplasm","Mouse","Live_seq","LPS_treated",1e-08,"NextSeq500","NXT0409","2X76","1.4","2.5","pass",0.3101,"no","10.12.18","Gamma 3 5_13",2,37,"Detached cell",638,1337,699,"","0.9248","Detached_cell","",NA,"Raw264.7_LPS_treated",1083731,73,525397,0,239559,0,26.08,3.33,NA,NA,NA,"sample17"
"FuiFM_exp5_12_Reseq","FuiFM",727437,4035,18.7130981789488,4.75312638757721,80.3807065079175,"FuiFM_exp5_12_Reseq","FuiFM_exp5_12","5Reseq","Raw264.7","cytoplasm","Mouse","Live_seq","LPS_treated",1e-08,"NextSeq500","NXT0409","2X76","1.1","2.12","pass",1.26238,"no","","",NA,NA,"",541,1375,834,"","2.952843178","","",NA,"Raw264.7_LPS_treated",1241087,73,867362,0,219777,0,11.76,0.65,NA,NA,NA,"sample18"
"FuiFM_exp5_21_Reseq","FuiFM",532490,1885,9.28862513850025,4.69680181787451,87.0741234577175,"FuiFM_exp5_21_Reseq","FuiFM_exp5_21","5Reseq","Raw264.7","cytoplasm","Mouse","Live_seq","LPS_treated",1e-08,"NextSeq500","NXT0409","2X76","1.1","2.22","pass",0.4501,"no","","",NA,NA,"",137,1342,1205,"","3.54178714","","",NA,"Raw264.7_LPS_treated",1353832,73,684613,0,222403,0,32.04,0.96,NA,NA,NA,"sample19"
"exp6_18","exp6",601599,1798,5.0088181662536,10.9034423262007,83.9326528135851,"exp6_18","exp6_18","6","Raw264.7_G9","cytoplasm","Mouse","Live_seq","LPS_treated",1e-08,"NextSeq500","NXT0409","2X76","1.3","2.19","pass",0.2408,"no","20.11.18","Gamma 8 12_30",2,18,"",893,2012,1119,"4.6","1.5989","low","",NA,"Raw264.7_LPS_treated",1192356,74,775979,0,230698,0,13.98,1.59,9.14342759467785,0.233703667029856,109096.002691055,"sample20"
"exp6_4","exp6",291487,1555,0.0497449285902973,30.6428760116232,67.7766075330975,"exp6_4","exp6_4","6","Raw264.7_G9","cytoplasm","Mouse","Live_seq","not_treated",1e-08,"NextSeq500","NXT0409","2X76","1.3","2.4","weak",0.1256,"no","09.11.18","Gamma 5 10_17",1,4,"",699,4056,3357,"-3","0.4397","low","",NA,"Raw264.7_not_treated",1195507,75,585725,0,258852,0,23.3,6.06,8.66076141021926,0.334769378601002,138170.9791025,"sample21"
"exp6_34","exp6",424320,2667,0.306843891402715,16.408371040724,81.5903092006033,"exp6_34","exp6_34","6","Raw264.7_G9","cytoplasm","Mouse","Live_seq","LPS_treated",1e-08,"NextSeq500","NXT0409","2X76","1.4","2.2","pass",0.4856,"no","07.12.18","Gamma 8 12_05",3,34,"Same cell as extract #31",1270,2400,1130,"","2.1146","high","31_34",2,"Raw264.7_LPS_treated",1182667,74,610007,0,245982,0,26.61,1.02,8.88456078041776,0.606457068421909,841883.5218545,"sample22"
"FuiFM_exp5_1_Reseq","FuiFM",455246,1071,0.0153763020432909,7.48166925134982,90.9391845288042,"FuiFM_exp5_1_Reseq","FuiFM_exp5_1","5Reseq","Raw264.7","cytoplasm","Mouse","Live_seq","not_treated",1e-08,"NextSeq500","NXT0409","2X76","1.1","2.1","weak",0.07418,"no","","",NA,NA,"",234,1083,849,"","1.915645509","","",NA,"Raw264.7_not_treated",1114653,74,641564,0,213914,0,22.04,1.21,NA,NA,NA,"sample23"
"exp6_30","exp6",313100,1233,23.4104120089428,68.3209837112744,11.0373682529543,"exp6_30","exp6_30","6","Raw264.7_G9","cytoplasm","Mouse","Live_seq","not_treated",1e-08,"NextSeq500","NXT0409","2X76","1.3","2.34","pass",0.2435,"no","07.12.18","Gamma 8 12_05",2,30,"",90,1411,1321,"","1.445","Detached_cell","",NA,"Raw264.7_not_treated",1290710,74,794715,0,344632,0,10.68,1.05,NA,NA,NA,"sample24"
"G9_Mock_F1","G9",307156,8085,12.3959811952233,8.40387295055281,80.1859641354881,"G9_Mock_F1","G9_Mock_F1","scRNA","Raw264.7_G9","scRNA","Mouse","scRNA","not_treated",1e-08,"NextSeq500","NXT0481","1X75","S513","Ad2.13","pass",0.979105141,"no","","",NA,NA,"",NA,NA,NA,"","","","",NA,"Raw264.7_not_treated",512425,74,398826,0,89522,0,4.46,0.24,NA,NA,NA,"sample25"
"IBA_G4","IBA",133019,8531,5.4909449026079,9.34904036265496,85.0637878799269,"IBA_G4","IBA_G4","scRNA","IBA","scRNA","Mouse","scRNA","not_treated",1e-08,"NextSeq500","NXT0481","1X75","S511","Ad2.30","pass",3.636105675,"no","","",NA,NA,"",NA,NA,NA,"","","","",NA,"IBA_not_treated",217932,74,170595,0,39529,0,3.41,0.17,NA,NA,NA,"sample26"
"IBA_F11","IBA",519910,10005,6.69846704237272,11.1074993748918,82.904156488623,"IBA_F11","IBA_F11","scRNA","IBA","scRNA","Mouse","scRNA","not_treated",1e-08,"NextSeq500","NXT0481","1X75","S513","Ad2.37","pass",2.755924213,"no","","",NA,NA,"",NA,NA,NA,"","","","",NA,"IBA_not_treated",865425,74,679289,0,156805,0,3.17,0.22,NA,NA,NA,"sample27"
"G9_LPS_G7","G9",384428,7745,6.96853507028624,11.2926217653241,79.878156637914,"G9_LPS_G7","G9_LPS_G7","scRNA","Raw264.7_G9","scRNA","Mouse","scRNA","LPS_treated",1e-08,"NextSeq500","NXT0481","1X75","S511","Ad2.7","pass",1.996350042,"no","","",NA,NA,"",NA,NA,NA,"","","","",NA,"Raw264.7_LPS_treated",672519,74,519247,0,126105,0,3.67,0.37,NA,NA,NA,"sample28"
