"","orig.ident","nCount_RNA","nFeature_RNA","percent.mt","percent.rRNA","percent.protein","sample_name","original_sample_name","Batch","Cell_type","Compartment","Species","sampling_type","treatment","ERCC","Sequencer","Sequencing_run","Sequencing_protocol","i5_index","i7_index","cDNA_profile","cDNA_concentration","trial","Date","Probe","Cell_NO","Extract_NO","Note","Volume_preloaded_buffer_fl","Volume_extract_and_preload_fl","Volume_cell_extract_fl","Extraction_time_h","library_concentration","mCherry_TNFa","double_extraction","double_extraction_order","celltype_treatment","input.reads","ave.read.len","uniquely.mapped","multiple.mapped","too.many.mapped","too.many.mismatches","too.short","others","mCherry.log.intercept","mCherry.log.slope","mCherry.AUC","sample_ID"
"IBA_F8","IBA",501892,9583,8.18044519538068,9.10634160337284,83.4247208562798,"IBA_F8","IBA_F8","scRNA","IBA","scRNA","Mouse","scRNA","not_treated",1e-08,"NextSeq500","NXT0481","1X75","S513","Ad2.34","pass",2.702997687,"no","","",NA,NA,"",NA,NA,NA,"","","","",NA,"IBA_not_treated",831882,74,655615,0,143958,0,3.6,0.28,NA,NA,NA,"sample207"
"G9_Mock_H1","G9",383556,8020,10.9538111775073,8.98851797390733,78.5679274995046,"G9_Mock_H1","G9_Mock_H1","scRNA","Raw264.7_G9","scRNA","Mouse","scRNA","not_treated",1e-08,"NextSeq500","NXT0481","1X75","S510","Ad2.13","pass",1.597767301,"no","","",NA,NA,"",NA,NA,NA,"","","","",NA,"Raw264.7_not_treated",690257,74,539415,0,115795,0,4.74,0.34,NA,NA,NA,"sample208"
"G9_Mock_A11","G9",410074,7879,17.089842321142,14.6866175373225,65.1484853953189,"G9_Mock_A11","G9_Mock_A11","scRNA","Raw264.7_G9","scRNA","Mouse","scRNA","not_treated",1e-08,"NextSeq500","NXT0481","1X75","S520","Ad2.23","pass",1.447882939,"no","","",NA,NA,"",NA,NA,NA,"","","","",NA,"Raw264.7_not_treated",751295,74,579844,0,139738,0,4.02,0.2,NA,NA,NA,"sample209"
"Live_seq_exp7_158","Live",772616,5059,6.70061194694389,7.89952576700457,81.9539072449962,"Live_seq_exp7_158","Live_seq_exp7_158","scRNA","Raw264.7_G9","cytoplasm","Mouse","scRNA","not_treated",1e-08,"NextSeq500","NXT0481","1X75","S503","Ad2.14","",0.75381937,"no","","",NA,NA,"",NA,NA,NA,"","","","",NA,"Raw264.7_not_treated",1361283,74,1006722,0,266185,0,4.97,1.52,NA,NA,NA,"sample210"
"G9_LPS_E6","G9",367927,7768,8.02468968028984,7.68657913118635,81.6629385720537,"G9_LPS_E6","G9_LPS_E6","scRNA","Raw264.7_G9","scRNA","Mouse","scRNA","LPS_treated",1e-08,"NextSeq500","NXT0481","1X75","S515","Ad2.6","pass",3.113965271,"no","","",NA,NA,"",NA,NA,NA,"","","","",NA,"Raw264.7_LPS_treated",614128,74,478201,0,108302,0,4.07,0.43,NA,NA,NA,"sample211"
"G9_LPS_H10","G9",308074,5315,2.31372981816057,7.19145400131137,82.5278991411154,"G9_LPS_H10","G9_LPS_H10","scRNA","Raw264.7_G9","scRNA","Mouse","scRNA","LPS_treated",1e-08,"NextSeq500","NXT0481","1X75","S510","Ad2.10","pass",0.726243298,"no","","",NA,NA,"",NA,NA,NA,"","","","",NA,"Raw264.7_LPS_treated",569786,74,401957,0,125326,0,6.31,1.15,NA,NA,NA,"sample212"
"G9_LPS_G2","G9",330045,7071,6.74786771500856,10.9900165128998,80.6020391158781,"G9_LPS_G2","G9_LPS_G2","scRNA","Raw264.7_G9","scRNA","Mouse","scRNA","LPS_treated",1e-08,"NextSeq500","NXT0481","1X75","S511","Ad2.2","pass",1.701205175,"no","","",NA,NA,"",NA,NA,NA,"","","","",NA,"Raw264.7_LPS_treated",584887,74,448839,0,113025,0,3.39,0.55,NA,NA,NA,"sample213"
"Live_seq_exp7_135","Live",846942,4409,5.15808638608075,6.61934347334292,85.5201418751225,"Live_seq_exp7_135","Live_seq_exp7_12","7","Raw264.7_G9","cytoplasm","Mouse","Live_seq","LPS_treated",1e-08,"NextSeq500","NXT0481","1X75","S505","Ad2.15","",0.643498977,"no","20190312","_10 11-30",NA,NA,"double extraction, 7/12, emptied",0,1092,1092,"","","-","7_12",2,"Raw264.7_LPS_treated",1482952,74,1103015,0,279182,0,4.75,2.04,NA,NA,NA,"sample214"
"G9_Mock_C4","G9",451836,7915,10.8986446409759,14.9638364362291,71.2012765693747,"G9_Mock_C4","G9_Mock_C4","scRNA","Raw264.7_G9","scRNA","Mouse","scRNA","not_treated",1e-08,"NextSeq500","NXT0481","1X75","S517","Ad2.16","pass",0.939521437,"no","","",NA,NA,"",NA,NA,NA,"","","","",NA,"Raw264.7_not_treated",832875,74,641652,0,154585,0,4.13,0.27,NA,NA,NA,"sample215"
"Live_seq_exp7_108","Live",1074064,6578,13.113743687527,15.6096843391083,72.0277376394703,"Live_seq_exp7_108","Live_seq_exp7_108","7","Raw264.7_G9","cytoplasm","Mouse","Live_seq","LPS_treated",1e-08,"NextSeq500","NXT0481","1X75","S508","Ad2.26","",1.110680798,"no","20190508","_11 06-15",NA,NA,"",82,913,831,"","","medium","",NA,"Raw264.7_LPS_treated",2070096,74,1536469,0,426679,0,4.39,0.78,NA,NA,NA,"sample216"
"G9_Mock_H12","G9",258165,7657,13.13074971433,13.3910483605446,73.0366238645827,"G9_Mock_H12","G9_Mock_H12","scRNA","Raw264.7_G9","scRNA","Mouse","scRNA","not_treated",1e-08,"NextSeq500","NXT0481","1X75","S510","Ad2.26","pass",1.333134674,"no","","",NA,NA,"",NA,NA,NA,"","","","",NA,"Raw264.7_not_treated",496648,74,379455,0,94041,0,4.38,0.28,NA,NA,NA,"sample217"
"G9_Mock_G9","G9",532245,9247,9.74438463489558,20.8026378829299,67.3212524307415,"G9_Mock_G9","G9_Mock_G9","scRNA","Raw264.7_G9","scRNA","Mouse","scRNA","not_treated",1e-08,"NextSeq500","NXT0481","1X75","S511","Ad2.21","pass",2.183517168,"no","","",NA,NA,"",NA,NA,NA,"","","","",NA,"Raw264.7_not_treated",1131638,71,823032,0,241465,0,5.1,0.83,NA,NA,NA,"sample218"
"G9_LPS_H3","G9",470532,7752,8.75562129674496,8.38773983491027,80.5029200989518,"G9_LPS_H3","G9_LPS_H3","scRNA","Raw264.7_G9","scRNA","Mouse","scRNA","LPS_treated",1e-08,"NextSeq500","NXT0481","1X75","S510","Ad2.3","pass",2.387416991,"no","","",NA,NA,"",NA,NA,NA,"","","","",NA,"Raw264.7_LPS_treated",808239,74,624203,0,151597,0,3.45,0.56,NA,NA,NA,"sample219"
"Live_seq_exp7_142","Live",1231206,5751,4.74591579313291,8.18928757657126,84.1721044244424,"Live_seq_exp7_142","Live_seq_exp7_142","scRNA","Raw264.7_G9","cytoplasm","Mouse","scRNA","not_treated",1e-08,"NextSeq500","NXT0481","1X75","S505","Ad2.22","",1.00008552,"no","","",NA,NA,"",NA,NA,NA,"","","","",NA,"Raw264.7_not_treated",2164665,74,1624339,0,414538,0,4.34,1.47,NA,NA,NA,"sample220"
"G9_Mock_C5","G9",423416,8509,7.511052959737,17.2761539478905,73.4155062633439,"G9_Mock_C5","G9_Mock_C5","scRNA","Raw264.7_G9","scRNA","Mouse","scRNA","not_treated",1e-08,"NextSeq500","NXT0481","1X75","S517","Ad2.17","pass",1.716963174,"no","","",NA,NA,"",NA,NA,NA,"","","","",NA,"Raw264.7_not_treated",828324,72,610467,0,170377,0,5.15,0.58,NA,NA,NA,"sample221"
"IBA_C1","IBA",345818,9271,6.61822114522668,9.20050431151646,83.5138714583972,"IBA_C1","IBA_C1","scRNA","IBA","scRNA","Mouse","scRNA","not_treated",1e-08,"NextSeq500","NXT0481","1X75","S517","Ad2.27","pass",2.976080769,"no","","",NA,NA,"",NA,NA,NA,"","","","",NA,"IBA_not_treated",567637,74,446235,0,98836,0,3.74,0.24,NA,NA,NA,"sample222"
"IBA_E5","IBA",434885,9545,5.76750175333709,15.2736930452878,78.4874162134817,"IBA_E5","IBA_E5","scRNA","IBA","scRNA","Mouse","scRNA","not_treated",1e-08,"NextSeq500","NXT0481","1X75","S515","Ad2.31","pass",6.330021349,"no","","",NA,NA,"",NA,NA,NA,"","","","",NA,"IBA_not_treated",831260,73,635322,0,164709,0,3.45,0.31,NA,NA,NA,"sample223"
"IBA_B12","IBA",402129,9822,6.36760840426828,9.00283242442102,83.9471910755007,"IBA_B12","IBA_B12","scRNA","IBA","scRNA","Mouse","scRNA","not_treated",1e-08,"NextSeq500","NXT0481","1X75","S518","Ad2.38","pass",4.279229674,"no","","",NA,NA,"",NA,NA,NA,"","","","",NA,"IBA_not_treated",663863,74,519603,0,120610,0,3.33,0.24,NA,NA,NA,"sample224"
"G9_Mock_F8","G9",360491,7828,9.02102965122569,13.4694070032262,75.471787090385,"G9_Mock_F8","G9_Mock_F8","scRNA","Raw264.7_G9","scRNA","Mouse","scRNA","not_treated",1e-08,"NextSeq500","NXT0481","1X75","S513","Ad2.20","pass",1.304225227,"no","","",NA,NA,"",NA,NA,NA,"","","","",NA,"Raw264.7_not_treated",665026,74,512434,0,122987,0,4.19,0.26,NA,NA,NA,"sample225"
"IBA_G9","IBA",401424,8892,6.48790306508829,10.6749970106421,82.9262824345331,"IBA_G9","IBA_G9","scRNA","IBA","scRNA","Mouse","scRNA","not_treated",1e-08,"NextSeq500","NXT0481","1X75","S511","Ad2.35","pass",2.375209038,"no","","",NA,NA,"",NA,NA,NA,"","","","",NA,"IBA_not_treated",684208,74,535715,0,125211,0,3.2,0.2,NA,NA,NA,"sample226"
"G9_LPS_F5","G9",336844,7191,7.55572312405743,19.0755958247735,70.271401598366,"G9_LPS_F5","G9_LPS_F5","scRNA","Raw264.7_G9","scRNA","Mouse","scRNA","LPS_treated",1e-08,"NextSeq500","NXT0481","1X75","S513","Ad2.5","pass",2.662393625,"no","","",NA,NA,"",NA,NA,NA,"","","","",NA,"Raw264.7_LPS_treated",691973,74,525559,0,140102,0,3.53,0.27,NA,NA,NA,"sample227"
"G9_Mock_C2","G9",307065,7424,15.4400534088874,12.7705860322733,70.1955612003973,"G9_Mock_C2","G9_Mock_C2","scRNA","Raw264.7_G9","scRNA","Mouse","scRNA","not_treated",1e-08,"NextSeq500","NXT0481","1X75","S517","Ad2.14","pass",0.809651308,"no","","",NA,NA,"",NA,NA,NA,"","","","",NA,"Raw264.7_not_treated",578668,74,439014,0,107854,0,5.13,0.37,NA,NA,NA,"sample228"
"IBA_F1","IBA",346826,9390,8.64439228892874,10.3040141165887,81.5498261376021,"IBA_F1","IBA_F1","scRNA","IBA","scRNA","Mouse","scRNA","not_treated",1e-08,"NextSeq500","NXT0481","1X75","S513","Ad2.27","pass",3.123296566,"no","","",NA,NA,"",NA,NA,NA,"","","","",NA,"IBA_not_treated",580297,74,451367,0,107294,0,3.61,0.12,NA,NA,NA,"sample229"
"G9_Mock_E5","G9",486122,8182,8.7525353717791,10.8065465047869,78.9614541205706,"G9_Mock_E5","G9_Mock_E5","scRNA","Raw264.7_G9","scRNA","Mouse","scRNA","not_treated",1e-08,"NextSeq500","NXT0481","1X75","S515","Ad2.17","pass",2.433027931,"no","","",NA,NA,"",NA,NA,NA,"","","","",NA,"Raw264.7_not_treated",890103,73,667060,0,166988,0,5.69,0.61,NA,NA,NA,"sample230"
"G9_LPS_C12","G9",398308,7709,9.42085019633048,10.2762184038483,77.9675527481246,"G9_LPS_C12","G9_LPS_C12","scRNA","Raw264.7_G9","scRNA","Mouse","scRNA","LPS_treated",1e-08,"NextSeq500","NXT0481","1X75","S517","Ad2.12","pass",2.13998721,"no","","",NA,NA,"",NA,NA,NA,"","","","",NA,"Raw264.7_LPS_treated",711159,74,550679,0,129994,0,3.92,0.36,NA,NA,NA,"sample231"
"G9_Mock_G4","G9",506373,8543,6.31293532633059,15.5738951326394,74.5424815304134,"G9_Mock_G4","G9_Mock_G4","scRNA","Raw264.7_G9","scRNA","Mouse","scRNA","not_treated",1e-08,"NextSeq500","NXT0481","1X75","S511","Ad2.16","pass",1.81392101,"no","","",NA,NA,"",NA,NA,NA,"","","","",NA,"Raw264.7_not_treated",964664,72,713146,0,190141,0,5.68,0.69,NA,NA,NA,"sample232"
"G9_LPS_E8","G9",365936,7893,8.00413187005378,11.4487232740151,77.1205893926807,"G9_LPS_E8","G9_LPS_E8","scRNA","Raw264.7_G9","scRNA","Mouse","scRNA","LPS_treated",1e-08,"NextSeq500","NXT0481","1X75","S515","Ad2.8","pass",1.311122042,"no","","",NA,NA,"",NA,NA,NA,"","","","",NA,"Raw264.7_LPS_treated",655464,74,506548,0,119424,0,4.16,0.34,NA,NA,NA,"sample233"
"IBA_H5","IBA",362360,8127,8.75262170217463,21.3988850866542,69.5084998344188,"IBA_H5","IBA_H5","scRNA","IBA","scRNA","Mouse","scRNA","not_treated",1e-08,"NextSeq500","NXT0481","1X75","S510","Ad2.31","pass",3.139752713,"no","","",NA,NA,"",NA,NA,NA,"","","","",NA,"IBA_not_treated",756714,74,584577,0,149373,0,2.83,0.18,NA,NA,NA,"sample234"
"IBA_E12","IBA",312546,8967,10.8246466120187,9.67025653823757,80.9567231703493,"IBA_E12","IBA_E12","scRNA","IBA","scRNA","Mouse","scRNA","not_treated",1e-08,"NextSeq500","NXT0481","1X75","S515","Ad2.38","pass",2.276916919,"no","","",NA,NA,"",NA,NA,NA,"","","","",NA,"IBA_not_treated",527757,74,413624,0,92565,0,3.78,0.3,NA,NA,NA,"sample235"
"Live_seq_exp7_134","Live",704983,4310,4.45556843214659,7.93508495949548,85.0420506593776,"Live_seq_exp7_134","Live_seq_exp7_53","7","Raw264.7_G9","cytoplasm","Mouse","Live_seq","LPS_treated",1e-08,"NextSeq500","NXT0481","1X75","S505","Ad2.14","",0.674438777,"no","20190326","_10 10-03",NA,NA,"",NA,NA,NA,"","","low","",NA,"Raw264.7_LPS_treated",1252346,74,926236,0,239018,0,4.78,2.18,NA,NA,NA,"sample236"
"IBA_B8","IBA",408781,9437,8.74526947191772,12.0619598269,78.6697522634369,"IBA_B8","IBA_B8","scRNA","IBA","scRNA","Mouse","scRNA","not_treated",1e-08,"NextSeq500","NXT0481","1X75","S518","Ad2.34","pass",2.041638498,"no","","",NA,NA,"",NA,NA,NA,"","","","",NA,"IBA_not_treated",729835,74,562334,0,139392,0,3.57,0.28,NA,NA,NA,"sample237"
"G9_LPS_G10","G9",334059,8601,7.08946623201291,13.8394714706085,76.5047491610763,"G9_LPS_G10","G9_LPS_G10","scRNA","Raw264.7_G9","scRNA","Mouse","scRNA","LPS_treated",1e-08,"NextSeq500","NXT0481","1X75","S511","Ad2.10","pass",3.457317133,"no","","",NA,NA,"",NA,NA,NA,"","","","",NA,"Raw264.7_LPS_treated",629082,74,485911,0,120487,0,3.31,0.3,NA,NA,NA,"sample238"
"G9_LPS_F12","G9",418379,8024,9.63360971750494,7.33688832374474,80.3897901185289,"G9_LPS_F12","G9_LPS_F12","scRNA","Raw264.7_G9","scRNA","Mouse","scRNA","LPS_treated",1e-08,"NextSeq500","NXT0481","1X75","S513","Ad2.12","pass",2.562536278,"no","","",NA,NA,"",NA,NA,NA,"","","","",NA,"Raw264.7_LPS_treated",704723,74,548005,0,126255,0,3.83,0.49,NA,NA,NA,"sample239"
"G9_LPS_H2","G9",475253,7642,6.0420449739402,8.66780430633789,84.4905765981488,"G9_LPS_H2","G9_LPS_H2","scRNA","Raw264.7_G9","scRNA","Mouse","scRNA","LPS_treated",1e-08,"NextSeq500","NXT0481","1X75","S510","Ad2.2","pass",1.536907866,"no","","",NA,NA,"",NA,NA,NA,"","","","",NA,"Raw264.7_LPS_treated",787793,74,613890,0,141527,0,3.7,0.41,NA,NA,NA,"sample240"
"G9_Mock_C9","G9",467021,8409,8.24224178356005,20.9097663702489,68.7178949126485,"G9_Mock_C9","G9_Mock_C9","scRNA","Raw264.7_G9","scRNA","Mouse","scRNA","not_treated",1e-08,"NextSeq500","NXT0481","1X75","S517","Ad2.21","pass",1.856173279,"no","","",NA,NA,"",NA,NA,NA,"","","","",NA,"Raw264.7_not_treated",966669,72,703951,0,208014,0,4.99,0.67,NA,NA,NA,"sample241"
"IBA_C4","IBA",162161,7963,8.38857678480029,12.2076208212826,79.3106850599096,"IBA_C4","IBA_C4","scRNA","IBA","scRNA","Mouse","scRNA","not_treated",1e-08,"NextSeq500","NXT0481","1X75","S517","Ad2.30","pass",2.146157267,"no","","",NA,NA,"",NA,NA,NA,"","","","",NA,"IBA_not_treated",288782,74,223883,0,53134,0,3.83,0.25,NA,NA,NA,"sample242"
"G9_LPS_D9","G9",250269,7473,8.19318413387195,10.2797390008351,78.7041143729347,"G9_LPS_D9","G9_LPS_D9","scRNA","Raw264.7_G9","scRNA","Mouse","scRNA","LPS_treated",1e-08,"NextSeq500","NXT0481","1X75","S516","Ad2.9","pass",2.245747454,"no","","",NA,NA,"",NA,NA,NA,"","","","",NA,"Raw264.7_LPS_treated",438608,74,336116,0,81712,0,4.39,0.35,NA,NA,NA,"sample243"
"IBA_B11","IBA",500321,9755,5.01058320558202,8.14217272511048,86.5810149883775,"IBA_B11","IBA_B11","scRNA","IBA","scRNA","Mouse","scRNA","not_treated",1e-08,"NextSeq500","NXT0481","1X75","S518","Ad2.37","pass",2.724790962,"no","","",NA,NA,"",NA,NA,NA,"","","","",NA,"IBA_not_treated",802486,74,633530,0,139997,0,3.34,0.26,NA,NA,NA,"sample244"
"Live_seq_exp7_161","Live",868811,4952,6.48288292850804,7.24921760889307,84.0218413440898,"Live_seq_exp7_161","Live_seq_exp7_161","scRNA","Raw264.7_G9","cytoplasm","Mouse","scRNA","not_treated",1e-08,"NextSeq500","NXT0481","1X75","S503","Ad2.17","",0.742029871,"no","","",NA,NA,"",NA,NA,NA,"","","","",NA,"Raw264.7_not_treated",1493405,74,1124037,0,279094,0,4.43,1.62,NA,NA,NA,"sample245"
"IBA_H12","IBA",389189,8232,6.31826696026866,10.1552202143432,83.4499433437225,"IBA_H12","IBA_H12","scRNA","IBA","scRNA","Mouse","scRNA","not_treated",1e-08,"NextSeq500","NXT0481","1X75","S510","Ad2.38","pass",1.662702366,"no","","",NA,NA,"",NA,NA,NA,"","","","",NA,"IBA_not_treated",662901,74,522553,0,117201,0,3.25,0.24,NA,NA,NA,"sample246"
"G9_Mock_E2","G9",293202,8201,10.3706659572581,10.1036145728883,77.6082700663706,"G9_Mock_E2","G9_Mock_E2","scRNA","Raw264.7_G9","scRNA","Mouse","scRNA","not_treated",1e-08,"NextSeq500","NXT0481","1X75","S515","Ad2.14","pass",1.608886319,"no","","",NA,NA,"",NA,NA,NA,"","","","",NA,"Raw264.7_not_treated",511767,74,395165,0,91580,0,4.58,0.31,NA,NA,NA,"sample247"
"IBA_E8","IBA",886749,10523,6.88041373601775,10.4689151044997,83.093863088653,"IBA_E8","IBA_E8","scRNA","IBA","scRNA","Mouse","scRNA","not_treated",1e-08,"NextSeq500","NXT0481","1X75","S515","Ad2.34","pass",4.471811066,"no","","",NA,NA,"",NA,NA,NA,"","","","",NA,"IBA_not_treated",1617237,72,1178375,0,337645,0,5.72,0.54,NA,NA,NA,"sample248"
"Live_seq_exp7_140","Live",1212212,5545,5.13045572886591,8.91403483879057,83.2766875761006,"Live_seq_exp7_140","Live_seq_exp7_140","scRNA","Raw264.7_G9","cytoplasm","Mouse","scRNA","LPS_treated",1e-08,"NextSeq500","NXT0481","1X75","S505","Ad2.20","",0.698567545,"no","","",NA,NA,"",NA,NA,NA,"","","","",NA,"Raw264.7_LPS_treated",2166320,74,1624715,0,422595,0,4.45,1.04,NA,NA,NA,"sample249"
"Live_seq_exp7_109","Live",679425,3465,5.33480516613313,5.41708061964161,88.5313316407256,"Live_seq_exp7_109","Live_seq_exp7_54","7","IBA","cytoplasm","Mouse","Live_seq","not_treated",1e-08,"NextSeq500","NXT0481","1X75","S507","Ad2.13","",0.606236828,"no","20190405","_10 10-37",NA,NA,"",0,1152,1152,"","","","",NA,"IBA_not_treated",1155422,74,865044,0,188447,0,3.27,5.56,NA,NA,NA,"sample250"
"IBA_F4","IBA",124920,7546,7.53282100544348,10.3410182516811,81.3384566122318,"IBA_F4","IBA_F4","scRNA","IBA","scRNA","Mouse","scRNA","not_treated",1e-08,"NextSeq500","NXT0481","1X75","S513","Ad2.30","pass",2.724346202,"no","","",NA,NA,"",NA,NA,NA,"","","","",NA,"IBA_not_treated",210947,74,165520,0,37541,0,3.52,0.22,NA,NA,NA,"sample251"
"IBA_E11","IBA",495753,9235,7.48558253807844,9.69111634221074,83.116592335296,"IBA_E11","IBA_E11","scRNA","IBA","scRNA","Mouse","scRNA","not_treated",1e-08,"NextSeq500","NXT0481","1X75","S515","Ad2.37","pass",2.123474471,"no","","",NA,NA,"",NA,NA,NA,"","","","",NA,"IBA_not_treated",844191,74,653429,0,155983,0,3.84,0.28,NA,NA,NA,"sample252"
"G9_LPS_B1","G9",372598,6525,8.79500158347603,8.8070789429895,81.5444527345826,"G9_LPS_B1","G9_LPS_B1","scRNA","Raw264.7_G9","scRNA","Mouse","scRNA","LPS_treated",1e-08,"NextSeq500","NXT0481","1X75","S518","Ad2.1","pass",0.515706626,"no","","",NA,NA,"",NA,NA,NA,"","","","",NA,"Raw264.7_LPS_treated",718970,74,553919,0,128382,0,4.48,0.62,NA,NA,NA,"sample253"
"IBA_H8","IBA",308846,9323,8.53143637929583,13.1567188825499,77.3990921041555,"IBA_H8","IBA_H8","scRNA","IBA","scRNA","Mouse","scRNA","not_treated",1e-08,"NextSeq500","NXT0481","1X75","S510","Ad2.34","pass",3.957667675,"no","","",NA,NA,"",NA,NA,NA,"","","","",NA,"IBA_not_treated",561043,73,425275,0,108106,0,4.61,0.32,NA,NA,NA,"sample254"
"G9_LPS_F11","G9",399956,7898,7.50632569582654,11.6517816959866,79.7892768204503,"G9_LPS_F11","G9_LPS_F11","scRNA","Raw264.7_G9","scRNA","Mouse","scRNA","LPS_treated",1e-08,"NextSeq500","NXT0481","1X75","S513","Ad2.11","pass",1.259963599,"no","","",NA,NA,"",NA,NA,NA,"","","","",NA,"Raw264.7_LPS_treated",705226,74,540624,0,133333,0,4.04,0.39,NA,NA,NA,"sample255"
"G9_Mock_H9","G9",353824,8007,6.8983449398571,16.4966197883694,76.4933978475174,"G9_Mock_H9","G9_Mock_H9","scRNA","Raw264.7_G9","scRNA","Mouse","scRNA","not_treated",1e-08,"NextSeq500","NXT0481","1X75","S510","Ad2.21","pass",2.080777442,"no","","",NA,NA,"",NA,NA,NA,"","","","",NA,"Raw264.7_not_treated",675306,74,512880,0,134826,0,3.84,0.25,NA,NA,NA,"sample256"
"IBA_C7","IBA",521973,9966,6.86357340322201,11.8948681253628,82.1348996978771,"IBA_C7","IBA_C7","scRNA","IBA","scRNA","Mouse","scRNA","not_treated",1e-08,"NextSeq500","NXT0481","1X75","S517","Ad2.33","pass",2.708334816,"no","","",NA,NA,"",NA,NA,NA,"","","","",NA,"IBA_not_treated",926407,73,695404,0,186393,0,4.38,0.44,NA,NA,NA,"sample257"
"G9_LPS_E1","G9",450487,7731,6.00749855156753,8.06349572795663,83.5819901573186,"G9_LPS_E1","G9_LPS_E1","scRNA","Raw264.7_G9","scRNA","Mouse","scRNA","LPS_treated",1e-08,"NextSeq500","NXT0481","1X75","S515","Ad2.1","pass",0.924974175,"no","","",NA,NA,"",NA,NA,NA,"","","","",NA,"Raw264.7_LPS_treated",750428,74,586199,0,131976,0,3.93,0.37,NA,NA,NA,"sample258"
"Live_seq_exp7_118","Live",1271250,4665,4.5930383480826,6.79229105211406,87.6294198623402,"Live_seq_exp7_118","Live_seq_exp7_88","7","IBA","cytoplasm","Mouse","Live_seq","not_treated",1e-08,"NextSeq500","NXT0481","1X75","S507","Ad2.22","",0.692642253,"no","20190503","_11 14-01",NA,NA,"",NA,NA,NA,"","","","",NA,"IBA_not_treated",2152351,74,1678176,0,356733,0,2.91,2.54,NA,NA,NA,"sample259"
"G9_LPS_D8","G9",357637,7430,9.6458140516781,12.0205683416425,74.6074930725848,"G9_LPS_D8","G9_LPS_D8","scRNA","Raw264.7_G9","scRNA","Mouse","scRNA","LPS_treated",1e-08,"NextSeq500","NXT0481","1X75","S516","Ad2.8","pass",0.80888386,"no","","",NA,NA,"",NA,NA,NA,"","","","",NA,"Raw264.7_LPS_treated",646555,74,495375,0,118819,0,4.75,0.26,NA,NA,NA,"sample260"
"Live_seq_exp7_144","Live",841416,5463,4.66392367152514,8.75191344115158,83.3018388050619,"Live_seq_exp7_144","Live_seq_exp7_144","scRNA","Raw264.7_G9","cytoplasm","Mouse","scRNA","not_treated",1e-08,"NextSeq500","NXT0481","1X75","S505","Ad2.26","",0.7884243,"no","","",NA,NA,"",NA,NA,NA,"","","","",NA,"Raw264.7_not_treated",1501014,74,1123544,0,298890,0,4.23,1,NA,NA,NA,"sample261"
"Live_seq_exp7_162","Live",1189369,5209,7.36466142971609,7.17321537722944,83.4357545891981,"Live_seq_exp7_162","Live_seq_exp7_162","scRNA","Raw264.7_G9","cytoplasm","Mouse","scRNA","not_treated",1e-08,"NextSeq500","NXT0481","1X75","S503","Ad2.18","",0.600830763,"no","","",NA,NA,"",NA,NA,NA,"","","","",NA,"Raw264.7_not_treated",2058714,74,1550448,0,384284,0,4.75,1.27,NA,NA,NA,"sample262"
"G9_LPS_E2","G9",385202,7847,9.8802706112637,10.7592899309972,76.3672047393316,"G9_LPS_E2","G9_LPS_E2","scRNA","Raw264.7_G9","scRNA","Mouse","scRNA","LPS_treated",1e-08,"NextSeq500","NXT0481","1X75","S515","Ad2.2","pass",1.125672684,"no","","",NA,NA,"",NA,NA,NA,"","","","",NA,"Raw264.7_LPS_treated",690581,74,534962,0,125782,0,3.97,0.35,NA,NA,NA,"sample263"
"G9_LPS_D7","G9",451865,7361,6.38022418200126,11.67140628285,79.1152224668872,"G9_LPS_D7","G9_LPS_D7","scRNA","Raw264.7_G9","scRNA","Mouse","scRNA","LPS_treated",1e-08,"NextSeq500","NXT0481","1X75","S516","Ad2.7","pass",0.689842097,"no","","",NA,NA,"",NA,NA,NA,"","","","",NA,"Raw264.7_LPS_treated",808817,74,626834,0,148834,0,3.7,0.4,NA,NA,NA,"sample264"
"G9_LPS_B5","G9",201032,5053,12.2005451868359,20.9822316845079,66.890843248836,"G9_LPS_B5","G9_LPS_B5","scRNA","Raw264.7_G9","scRNA","Mouse","scRNA","LPS_treated",1e-08,"NextSeq500","NXT0481","1X75","S518","Ad2.5","pass",1.122229328,"no","","",NA,NA,"",NA,NA,NA,"","","","",NA,"Raw264.7_LPS_treated",483130,74,354680,0,104029,0,4.65,0.41,NA,NA,NA,"sample265"
"G9_Mock_B9","G9",526237,8886,8.51213426649969,22.5274923656071,66.7917687277785,"G9_Mock_B9","G9_Mock_B9","scRNA","Raw264.7_G9","scRNA","Mouse","scRNA","not_treated",1e-08,"NextSeq500","NXT0481","1X75","S518","Ad2.21","pass",2.539770503,"no","","",NA,NA,"",NA,NA,NA,"","","","",NA,"Raw264.7_not_treated",1114871,72,812037,0,240227,0,4.94,0.68,NA,NA,NA,"sample266"
"G9_LPS_D5","G9",360881,7118,9.43690579443085,19.8852253235831,66.1725056181955,"G9_LPS_D5","G9_LPS_D5","scRNA","Raw264.7_G9","scRNA","Mouse","scRNA","LPS_treated",1e-08,"NextSeq500","NXT0481","1X75","S516","Ad2.5","pass",1.977657534,"no","","",NA,NA,"",NA,NA,NA,"","","","",NA,"Raw264.7_LPS_treated",769680,74,583699,0,156461,0,3.51,0.33,NA,NA,NA,"sample267"
