,orig.ident,Extract_NO,Probe,Cell_NO,sample_name,original_sample_name,Cell_type,Batch,Volume.extract,Cell treatment
exp9_plate9_B11,exp9,145,,NA,exp9_plate9_B11,exp9_S145,ASPC,9_4,1.77,diff
exp9_plate9_A12,exp9,110,,NA,exp9_plate9_A12,exp9_S110,ASPC,9_4,2.15,diff
exp9_plate8_B9,exp9,,,NA,exp9_plate8_B9,plate8_B9,IBA,9_4,NA,
exp9_plate8_E10,exp9,,,NA,exp9_plate8_E10,plate8_E10,IBA,9_4,NA,
exp9_plate9_H5,exp9,88,,NA,exp9_plate9_H5,exp9_S88,ASPC,9_4,1.06,
exp9_plate9_A7,exp9,91,,NA,exp9_plate9_A7,exp9_S91,ASPC,9_4,2.29,diff
exp9_plate8_B2,exp9,,,NA,exp9_plate8_B2,plate8_B2,Raw264.7_G9,9_4,NA,
exp9_plate8_G10,exp9,,,NA,exp9_plate8_G10,plate8_G10,IBA,9_4,NA,
exp9_plate8_D1,exp9,,,NA,exp9_plate8_D1,plate8_D1,Raw264.7_G9,9_4,NA,
exp9_plate8_H9,exp9,,,NA,exp9_plate8_H9,plate8_H9,IBA,9_4,NA,
exp9_plate9_G9,exp9,158,,NA,exp9_plate9_G9,exp9_S158,ASPC,9_4,0.75,diff
exp9_plate9_H11,exp9,190,,NA,exp9_plate9_H11,exp9_S190,ASPC,9_4,2.27,diff
exp9_plate9_D9,exp9,142,,NA,exp9_plate9_D9,exp9_S142,ASPC,9_4,0.83,diff
exp9_plate9_G4,exp9,182,,NA,exp9_plate9_G4,exp9_S182,ASPC,9_4,2.28,
exp9_plate8_H10,exp9,,,NA,exp9_plate8_H10,plate8_H10,IBA,9_4,NA,
exp9_plate9_F6,exp9,177,,NA,exp9_plate9_F6,exp9_S177,ASPC,9_4,2.20,
exp9_plate8_E1,exp9,,,NA,exp9_plate8_E1,plate8_E1,Raw264.7_G9,9_4,NA,
exp9_plate9_E9,exp9,172,,NA,exp9_plate9_E9,exp9_S172,ASPC,9_4,1.53,diff
exp9_plate8_B6,exp9,,,NA,exp9_plate8_B6,plate8_B6,Raw264.7_G9,9_4,NA,
exp9_plate9_G3,exp9,132,,NA,exp9_plate9_G3,exp9_S132,ASPC,9_4,1.38,
exp9_plate9_E12,exp9,161,,NA,exp9_plate9_E12,exp9_S161,ASPC,9_4,1.66,diff
exp9_plate8_E9,exp9,,,NA,exp9_plate8_E9,plate8_E9,IBA,9_4,NA,
exp9_plate9_H10,exp9,149,,NA,exp9_plate9_H10,exp9_S149,ASPC,9_4,1.03,diff
exp9_plate8_H11,exp9,,,NA,exp9_plate8_H11,plate8_H11,IBA,9_4,NA,
exp9_plate9_D12,exp9,171,,NA,exp9_plate9_D12,exp9_S171,ASPC,9_4,2.11,diff
exp9_plate8_C7,exp9,,,NA,exp9_plate8_C7,plate8_C7,Raw264.7_G9,9_4,NA,
exp9_plate8_C1,exp9,,,NA,exp9_plate8_C1,plate8_C1,Raw264.7_G9,9_4,NA,
exp9_plate9_G12,exp9,197,,NA,exp9_plate9_G12,exp9_S197,ASPC,9_4,1.31,diff
exp9_plate9_E5,exp9,84,,NA,exp9_plate9_E5,exp9_S84,ASPC,9_4,1.44,
exp9_plate8_F1,exp9,,,NA,exp9_plate8_F1,plate8_F1,Raw264.7_G9,9_4,NA,
exp9_plate9_H3,exp9,139,,NA,exp9_plate9_H3,exp9_S139,ASPC,9_4,2.17,
exp9_plate9_G6,exp9,141,,NA,exp9_plate9_G6,exp9_S141,ASPC,9_4,NA,
exp9_plate9_C3,exp9,113,,NA,exp9_plate9_C3,exp9_S113,ASPC,9_4,1.53,
exp9_plate8_B11,exp9,,,NA,exp9_plate8_B11,plate8_B11,IBA,9_4,NA,
exp9_plate8_A11,exp9,,,NA,exp9_plate8_A11,plate8_A11,IBA,9_4,NA,
exp9_plate9_D1,exp9,116,,NA,exp9_plate9_D1,exp9_S116,ASPC,9_4,1.29,
exp9_plate9_C7,exp9,151,,NA,exp9_plate9_C7,exp9_S151,ASPC,9_4,3.17,diff
exp9_plate8_C12,exp9,,,NA,exp9_plate8_C12,plate8_C12,IBA,9_4,NA,
exp9_plate9_C12,exp9,170,,NA,exp9_plate9_C12,exp9_S170,ASPC,9_4,2.25,diff
exp9_plate9_H4,exp9,87,,NA,exp9_plate9_H4,exp9_S87,ASPC,9_4,1.49,
exp9_plate8_A2,exp9,,,NA,exp9_plate8_A2,plate8_A2,Raw264.7_G9,9_4,NA,
exp9_plate9_A3,exp9,79,,NA,exp9_plate9_A3,exp9_S79,ASPC,9_4,2.06,
exp9_plate9_A2,exp9,78,,NA,exp9_plate9_A2,exp9_S78,ASPC,9_4,NA,
exp9_plate9_A1,exp9,66,,NA,exp9_plate9_A1,exp9_S66,ASPC,9_4,1.20,
exp9_plate9_D4,exp9,76,,NA,exp9_plate9_D4,exp9_S76,ASPC,9_4,1.74,
exp9_plate8_A5,exp9,,,NA,exp9_plate8_A5,plate8_A5,Raw264.7_G9,9_4,NA,
exp9_plate9_B7,exp9,144,,NA,exp9_plate9_B7,exp9_S144,ASPC,9_4,NA,diff
exp9_plate9_A11,exp9,106,,NA,exp9_plate9_A11,exp9_S106,ASPC,9_4,1.95,diff
exp9_plate8_A1,exp9,,,NA,exp9_plate8_A1,plate8_A1,Raw264.7_G9,9_4,NA,
exp9_plate9_G8,exp9,167,,NA,exp9_plate9_G8,exp9_S167,ASPC,9_4,1.33,diff
exp9_plate9_G5,exp9,183,,NA,exp9_plate9_G5,exp9_S183,ASPC,9_4,2.24,
exp9_plate8_A6,exp9,,,NA,exp9_plate8_A6,plate8_A6,Raw264.7_G9,9_4,NA,
exp9_plate8_E6,exp9,,,NA,exp9_plate8_E6,plate8_E6,Raw264.7_G9,9_4,NA,
exp9_plate9_E8,exp9,153,,NA,exp9_plate9_E8,exp9_S153,ASPC,9_4,1.38,diff
exp9_plate9_E10,exp9,157,,NA,exp9_plate9_E10,exp9_S157,ASPC,9_4,1.35,diff
exp9_plate9_G1,exp9,185,,NA,exp9_plate9_G1,exp9_S185,ASPC,9_4,2.20,
exp9_plate8_D2,exp9,,,NA,exp9_plate8_D2,plate8_D2,Raw264.7_G9,9_4,NA,
exp9_plate9_F4,exp9,175,,NA,exp9_plate9_F4,exp9_S175,ASPC,9_4,1.90,
exp9_plate9_C1,exp9,135,,NA,exp9_plate9_C1,exp9_S135,ASPC,9_4,1.66,
exp9_plate9_C10,exp9,154,,NA,exp9_plate9_C10,exp9_S154,ASPC,9_4,1.69,diff
exp9_plate9_G10,exp9,96,,NA,exp9_plate9_G10,exp9_S96,ASPC,9_4,2.02,diff
